,Age,Gender,Tenure,Service_Internet,Service_Phone,Service_TV,Contract,PaymentMethod,MonthlyCharges,TotalCharges,StreamingMovies,StreamingMusic,OnlineSecurity,TechSupport,Churn
67,57.0,0,30,1,1,0,1,2,27.76,827.69,0,1,0,0,0
68,21.0,0,17,0,1,0,0,1,83.08,1425.56,1,0,0,0,0
69,19.0,1,67,0,1,1,0,2,21.0,1415.66,1,1,0,0,0
70,23.0,1,30,0,1,0,0,0,100.18,2998.03,0,0,1,1,0
71,59.0,0,45,1,0,0,0,3,26.69,1215.03,0,1,0,0,0
72,21.0,1,51,1,1,0,0,2,72.44,3695.69,0,0,0,1,0
73,46.0,0,47,1,0,1,2,3,94.01,4429.08,1,1,0,0,0
74,35.0,1,53,1,1,1,0,3,44.2,2355.87,1,1,1,0,0
75,43.0,0,64,1,1,0,0,1,30.35,1939.77,1,1,1,1,0
76,61.0,0,38,1,1,1,0,0,37.56,1432.99,1,0,0,1,0
77,51.0,0,64,1,1,0,2,2,105.47,6746.01,0,1,0,1,0
78,27.0,0,7,0,1,1,1,2,90.58,643.36,0,0,0,1,1
79,53.0,1,22,1,1,1,0,2,39.81,876.72,0,0,0,0,0
80,31.0,1,41,1,1,1,0,2,91.61,3765.61,0,1,0,1,0
81,48.0,0,10,1,1,1,0,3,90.86,923.85,0,1,1,0,1
82,65.0,0,57,1,1,1,0,1,119.77,6832.36,0,1,0,1,0
83,32.0,1,7,0,1,1,2,3,59.16,413.19,0,1,0,0,0
84,25.0,1,50,1,1,1,1,0,106.49,5323.73,1,1,0,1,0
85,31.0,1,52,1,0,1,1,0,64.64,3331.71,0,0,0,1,0
86,40.0,1,33,1,1,1,0,1,109.78,3615.61,1,0,1,0,0
87,57.0,1,1,1,0,1,0,2,29.16,38.49,1,1,1,0,0
88,38.0,1,53,1,1,1,2,0,37.53,1998.79,1,0,0,0,0
89,33.0,0,60,1,0,0,0,1,105.0,6292.65,1,0,1,0,0
90,62.0,1,34,1,1,1,2,2,101.93,3467.27,0,0,0,0,0
91,35.0,1,4,1,0,1,0,2,50.54,200.27,1,0,0,0,0
92,44.0,0,17,1,1,0,0,1,79.68,1361.46,0,0,1,1,0
93,41.0,1,4,1,0,1,1,0,58.27,255.17,1,1,0,1,0
94,43.0,1,43,1,1,0,0,2,21.03,911.37,1,0,1,0,0
95,42.0,1,4,1,1,0,0,3,22.61,83.74,1,0,0,0,0
96,62.0,1,1,0,1,1,0,3,25.43,24.65,0,1,1,0,0
97,58.0,1,71,0,1,1,1,3,79.41,5652.13,0,1,0,1,0
98,46.0,0,50,1,1,1,0,2,47.92,2381.91,1,1,0,0,0
99,32.0,1,61,1,1,1,0,2,34.39,2091.64,1,1,0,0,0
100,62.0,0,35,1,1,1,1,0,114.11,4000.95,0,1,0,0,0
101,18.0,0,8,1,0,1,0,0,32.13,269.98,1,0,0,1,0
102,42.0,1,24,0,1,0,2,1,87.4,2103.69,1,0,0,0,0
103,24.0,0,36,1,0,1,0,2,109.42,3933.05,1,1,0,0,0
104,26.0,1,50,1,1,1,1,1,36.38,1824.37,1,1,0,0,0
105,44.0,0,43,1,1,0,0,2,41.47,1787.35,1,0,0,0,0
106,18.0,0,27,1,0,1,1,3,69.59,2092.77,1,1,1,0,0
107,61.0,1,32,1,0,1,1,1,70.84,2265.91,0,1,0,1,0
108,25.0,1,18,0,0,1,2,3,72.1,1298.33,0,0,1,0,0
109,41.0,1,28,1,1,1,0,2,75.47,2104.09,0,1,1,0,0
110,28.0,1,29,0,1,0,0,2,114.99,3359.51,0,1,1,1,0
111,68.0,1,16,1,1,1,1,3,25.38,407.65,0,1,1,1,0
112,34.0,0,47,1,1,1,0,0,96.04,4519.37,0,0,0,0,0
113,25.0,0,59,1,1,1,0,1,43.25,2549.57,0,0,1,0,0
114,52.0,0,31,1,0,1,2,0,57.37,1786.92,1,1,0,0,0
115,52.0,0,4,1,0,1,0,1,28.93,102.74,1,1,0,1,0
116,50.0,0,37,1,1,0,2,0,64.56,2371.26,0,0,0,0,0
117,22.0,0,17,0,1,0,0,1,100.42,1706.84,0,0,0,0,0
118,59.0,0,39,1,0,1,1,2,29.87,1185.47,0,0,1,0,0
119,56.0,1,48,1,1,1,0,1,47.56,2294.96,0,0,0,0,0
120,58.0,1,46,1,1,0,0,2,57.31,2628.18,1,0,0,0,0
121,45.0,0,48,1,1,1,2,1,30.39,1463.88,1,0,1,1,0
122,24.0,0,39,0,1,1,0,2,96.23,3746.61,0,0,1,0,0
123,26.0,1,4,0,0,1,2,0,98.69,399.02,1,0,1,0,1
124,25.0,1,30,1,1,1,1,0,103.59,3112.74,1,0,1,1,0
125,29.0,1,30,1,1,1,0,1,78.39,2360.96,0,1,0,0,0
126,51.0,1,22,1,1,0,2,0,70.72,1540.18,1,0,1,1,0
127,44.0,0,66,1,0,0,0,2,46.26,3040.5,0,0,0,0,0
128,65.0,1,12,0,0,1,2,3,85.52,1025.48,0,0,0,0,0
129,40.0,0,36,1,1,1,0,2,64.46,2310.24,1,1,1,0,0
130,41.0,0,18,0,1,0,2,2,117.08,2096.34,1,0,0,0,0
131,54.0,0,53,1,1,1,1,2,116.82,6194.18,1,0,1,0,0
132,52.0,1,71,0,1,0,0,2,110.52,2132.26,0,1,1,0,0
133,61.0,1,1,1,1,1,1,3,56.01,78.59,1,0,0,0,0
134,57.0,0,58,0,1,1,0,1,56.8,3289.07,1,0,1,0,0
135,39.0,0,6,1,1,1,0,1,105.27,628.92,0,1,1,0,1
136,44.0,0,70,1,1,0,0,2,92.91,6506.68,1,1,1,0,0
137,44.0,1,44,1,1,1,0,2,90.44,3964.28,1,0,0,1,0
138,18.0,0,24,1,0,1,0,2,47.96,1156.13,1,0,0,0,0
139,52.0,1,19,1,1,1,0,2,103.33,1966.68,1,1,0,1,0
140,54.0,0,18,0,1,0,0,2,77.94,1399.43,0,1,0,0,0
141,64.0,0,30,1,0,0,0,2,64.69,1943.44,1,1,1,1,0
142,44.0,0,42,1,1,0,0,3,106.54,4478.96,1,1,1,0,0
143,20.0,1,33,0,0,0,1,3,59.42,1975.21,0,1,1,1,0
144,18.0,1,12,0,1,1,1,3,85.39,1049.68,0,0,0,1,0
145,22.0,0,27,1,1,1,0,2,66.59,1787.31,1,0,0,0,0
146,43.0,1,39,1,0,1,2,0,79.27,3078.56,0,0,1,0,0
147,31.0,0,9,1,1,1,1,1,24.05,217.48,0,1,1,0,0
148,56.0,1,21,1,0,0,1,2,66.11,1367.52,1,1,1,1,0
149,44.0,1,29,0,1,0,0,2,75.65,2200.34,0,1,0,0,0
150,26.0,1,33,0,1,1,0,2,69.27,2287.04,0,0,0,1,0
151,32.0,0,62,1,1,0,2,2,104.74,6497.55,1,0,1,0,0
152,32.0,1,15,0,1,0,2,3,51.11,763.61,0,0,1,0,0
153,43.0,1,2,1,1,1,0,2,108.41,219.37,0,1,1,1,1
154,59.0,0,52,1,1,1,0,3,60.35,3142.92,0,0,0,0,0
155,30.0,0,44,0,1,1,1,2,89.45,3937.8,1,0,0,0,0
156,68.0,0,54,1,1,1,1,0,28.67,1534.73,1,0,1,0,0
157,49.0,0,18,0,0,1,2,2,40.02,722.08,0,0,1,1,0
158,56.0,1,3,1,1,1,0,3,96.12,306.9,1,0,1,0,1
159,66.0,1,7,0,0,1,0,2,21.23,1510.2,0,1,0,0,0
160,69.0,1,43,1,1,0,0,2,116.85,5025.92,1,0,0,0,0
161,49.0,1,38,1,1,1,0,1,39.06,1499.88,1,1,0,0,0
162,21.0,1,37,1,0,1,0,0,110.13,4067.35,0,1,0,1,0
163,47.0,0,58,1,1,0,2,2,71.59,4161.12,0,1,1,1,0
164,54.0,1,33,0,1,1,0,2,76.46,2517.88,1,0,0,1,0
165,40.0,1,59,1,1,1,2,0,28.41,1687.06,1,1,1,0,0
166,56.0,1,11,1,1,0,0,3,56.52,629.7,0,0,1,0,0
167,62.0,0,68,1,1,1,0,3,35.62,2418.04,0,0,0,0,0
168,32.0,0,68,0,0,0,0,1,72.59,4933.46,0,0,0,0,0
169,60.0,1,22,1,1,1,0,2,75.07,1661.32,1,0,0,0,0
170,46.0,0,66,0,0,1,2,2,90.97,5985.47,1,0,0,1,0
171,53.0,0,44,1,1,1,0,2,107.83,4740.1,0,1,0,0,0
172,30.0,0,6,0,1,1,0,0,66.82,407.12,0,1,1,0,0
173,44.0,0,42,1,1,0,0,1,43.34,1817.2,1,0,0,0,0
174,24.0,0,25,0,0,0,0,1,53.36,1335.35,0,1,0,1,0
175,68.0,0,57,1,0,0,1,0,104.71,5948.06,1,1,0,0,0
176,39.0,0,55,1,1,0,0,1,34.59,1893.91,0,0,0,0,0
177,45.0,1,16,0,1,1,1,0,82.73,1330.47,0,0,0,1,0
178,19.0,1,14,1,1,0,1,0,21.31,2908.3,1,0,0,0,0
179,59.0,0,39,0,1,0,0,1,44.57,1725.21,0,0,1,0,0
180,62.0,1,28,1,1,0,0,2,79.14,2226.54,1,0,0,1,0
181,23.0,1,51,1,0,0,1,0,65.64,3352.8,1,1,0,1,0
182,45.0,0,49,1,1,1,1,0,69.35,3387.26,0,1,1,0,0
183,45.0,1,9,1,0,1,0,1,86.06,775.93,1,0,0,1,1
184,61.0,0,58,0,1,0,0,1,43.46,2510.12,0,1,1,0,0
185,61.0,0,45,1,1,1,0,1,48.08,2162.08,1,1,1,0,0
186,37.0,0,22,0,1,1,0,1,88.45,1947.66,0,0,0,1,0
187,47.0,1,32,1,0,0,0,3,73.83,2354.48,1,1,0,1,0
188,28.0,1,69,1,0,1,0,2,21.46,1488.16,0,1,1,0,0
189,45.0,1,69,1,1,1,0,2,87.03,6014.04,0,1,0,1,0
190,42.0,1,42,0,1,1,0,3,82.01,3447.06,0,1,0,0,0
191,56.0,0,53,1,1,0,0,3,27.86,1480.72,0,1,0,0,0
192,50.0,0,59,1,1,1,2,3,94.75,5575.72,1,0,0,0,0
193,18.0,1,39,0,1,0,0,3,72.21,2829.81,1,0,0,1,0
194,44.0,0,15,1,0,1,2,1,40.47,606.14,0,1,0,0,0
195,69.0,0,71,1,1,1,0,2,75.94,5382.39,0,1,0,0,0
196,30.0,1,29,1,0,1,1,1,79.55,2308.41,1,1,1,1,0
197,58.0,0,3,1,1,0,0,1,112.01,343.48,1,0,1,1,1
198,20.0,1,10,1,1,1,1,3,94.21,947.22,0,1,1,0,1
199,56.0,0,29,0,0,0,0,3,50.19,1444.66,0,0,0,1,0
200,23.0,1,35,1,1,0,0,0,31.81,1120.93,0,1,1,1,0
201,25.0,0,6,0,0,0,2,2,105.32,631.31,1,0,1,0,1
202,44.0,0,12,1,1,0,0,2,104.61,1260.33,1,1,0,1,0
203,26.0,1,38,1,1,1,2,2,37.53,1418.12,1,1,0,0,0
204,54.0,1,19,1,0,1,0,2,26.21,508.45,1,1,0,0,0
205,50.0,1,67,1,0,0,0,2,91.19,6111.56,0,0,1,0,0
206,68.0,1,8,0,1,0,0,2,92.26,749.97,0,1,1,1,1
207,59.0,0,8,1,1,0,1,2,37.71,286.33,1,1,1,0,0
208,61.0,0,47,1,0,0,0,0,86.82,4066.53,1,0,1,0,0
209,41.0,1,4,0,0,0,2,2,47.89,189.16,1,1,1,1,0
210,32.0,0,51,1,1,1,0,0,46.06,2363.74,0,1,1,1,0
211,49.0,1,67,1,0,0,1,1,52.45,3533.78,1,0,1,1,0
212,49.0,1,45,1,1,0,0,0,72.04,3232.92,1,1,0,1,0
213,41.0,0,8,0,1,0,0,0,100.45,804.13,0,0,1,1,1
214,58.0,0,16,1,1,1,0,3,69.86,1119.31,0,1,1,1,0
215,69.0,1,67,0,1,0,0,2,49.8,3343.78,0,1,0,0,0
216,66.0,1,9,0,0,0,0,1,108.4,984.45,1,1,0,0,1
217,66.0,1,60,0,1,1,0,1,69.59,1519.46,0,0,0,0,0
218,69.0,0,71,0,0,0,0,3,99.71,7080.06,1,0,0,0,0
219,29.0,0,15,0,1,1,0,2,98.44,1456.51,0,0,0,0,0
220,56.0,0,71,1,0,0,0,0,45.35,3227.96,0,1,0,0,0
221,19.0,0,41,1,0,1,0,2,39.83,1629.64,0,0,0,0,0
222,20.0,1,22,0,1,1,0,2,107.47,2352.29,1,1,0,1,0
223,66.0,1,24,0,1,1,2,1,75.89,1824.69,0,1,1,1,0
224,54.0,1,44,1,1,0,2,3,24.6,1078.7,1,0,0,0,0
225,66.0,1,1,1,0,1,0,0,109.08,121.69,1,1,0,1,1
226,34.0,1,10,0,0,0,2,1,54.9,540.07,1,1,0,1,0
227,66.0,1,56,0,1,0,1,3,54.22,3058.55,0,1,0,1,0
228,19.0,0,50,0,0,0,0,3,84.33,4225.05,1,0,0,0,0
229,19.0,0,12,0,1,1,0,2,86.13,1046.44,0,1,0,1,0
230,45.0,1,60,0,1,0,2,2,55.33,3309.51,0,1,0,0,0
231,40.0,1,26,1,0,0,1,0,34.33,910.46,1,0,1,1,0
232,54.0,0,41,0,1,1,2,3,75.23,3072.3,0,1,1,0,0
233,49.0,0,36,1,0,1,2,2,82.52,2968.62,1,1,0,0,0
234,50.0,0,23,0,1,1,0,2,106.02,2451.51,1,0,0,1,0
235,18.0,0,43,1,1,0,0,3,68.44,2947.99,0,0,1,0,0
236,36.0,1,6,1,1,1,0,2,84.57,495.03,0,1,0,0,1
237,19.0,1,69,1,1,1,0,0,25.44,1766.71,1,0,0,0,0
238,61.0,1,43,1,0,0,0,3,109.45,4709.75,0,1,1,0,0
239,43.0,1,25,1,1,1,0,2,52.72,1313.84,0,0,0,0,0
240,49.0,1,18,1,1,0,0,3,83.22,1482.54,1,1,0,0,0
241,23.0,0,62,1,1,0,0,1,111.61,6924.17,0,1,0,1,0
242,49.0,1,13,1,1,1,0,2,101.05,1312.02,0,1,0,0,0
243,21.0,0,43,1,0,0,0,0,83.77,3603.67,1,0,1,1,0
244,28.0,1,28,1,1,1,0,3,90.36,2514.23,0,0,0,1,0
245,34.0,1,18,1,1,1,0,0,112.09,2013.43,0,0,0,0,0
246,55.0,1,59,1,0,0,1,2,101.21,5976.19,1,0,0,1,0
247,41.0,1,60,0,1,1,2,1,80.99,4878.16,0,1,1,0,0
248,22.0,1,63,0,0,0,0,0,85.87,5407.76,1,1,0,0,0
249,69.0,0,57,1,1,1,0,1,34.73,1994.04,0,0,0,0,0
250,51.0,0,51,0,1,1,2,2,67.02,3425.89,1,0,1,1,0
251,23.0,0,56,1,0,0,0,0,50.1,2807.94,0,0,0,1,0
252,39.0,1,27,0,0,1,1,0,63.2,1696.28,1,1,1,0,0
253,28.0,1,32,1,1,0,0,2,69.59,2749.34,0,1,0,0,0
254,65.0,0,9,1,1,1,2,2,34.92,320.46,1,1,0,1,0
255,33.0,1,68,1,1,0,2,0,21.74,1473.06,1,1,0,0,0
256,50.0,1,46,1,1,1,1,2,59.69,2739.59,1,1,0,0,0
257,26.0,0,67,1,0,1,0,0,52.22,3496.93,0,1,0,1,0
258,44.0,1,26,1,1,1,2,2,62.04,1611.4,1,0,0,0,0
259,33.0,0,8,1,1,1,1,2,113.12,913.97,0,1,1,1,1
260,46.0,1,6,0,0,0,1,2,90.71,539.21,0,1,0,0,1
261,20.0,0,24,1,1,1,0,2,52.75,1274.01,0,0,0,1,0
262,44.0,1,48,1,1,1,1,1,37.93,1825.04,1,1,1,1,0
263,53.0,1,45,1,0,1,0,1,81.85,3666.51,0,0,1,0,0
264,36.0,0,13,1,0,0,0,0,85.76,1117.83,1,1,0,1,0
265,43.0,1,69,1,1,0,0,1,68.36,4690.16,0,0,1,0,0
266,20.0,1,25,0,1,1,0,1,41.28,1023.05,0,0,1,1,0
267,36.0,0,20,0,1,1,1,2,22.86,461.83,1,0,0,0,0
268,44.0,1,66,1,1,1,1,1,46.57,3073.51,1,0,0,0,0
269,44.0,0,45,1,1,0,0,2,65.72,2939.72,1,1,0,0,0
270,44.0,1,47,1,0,1,1,3,98.79,4631.94,1,1,1,1,0
271,69.0,1,63,0,0,1,2,3,105.38,6612.85,0,0,0,1,0
272,58.0,1,55,1,0,0,0,0,61.29,3357.52,1,0,0,0,0
273,50.0,1,19,1,1,0,0,2,99.61,1898.38,0,0,0,1,0
274,57.0,0,35,1,0,1,0,2,119.34,4171.33,1,1,1,0,0
275,56.0,1,53,0,1,0,0,0,91.66,4859.68,0,0,0,0,0
276,35.0,0,26,0,1,1,0,2,92.86,2414.5,0,0,0,0,0
277,57.0,1,14,0,1,0,0,0,110.95,1553.63,0,0,0,1,0
278,18.0,1,45,0,1,1,0,0,53.81,2431.68,1,1,0,0,0
279,28.0,1,44,0,0,1,2,2,21.12,927.25,0,0,1,0,0
280,45.0,1,65,0,1,0,1,2,118.7,2132.26,1,1,0,0,0
281,42.0,0,51,1,1,1,0,0,69.05,3496.78,1,1,0,0,0
282,67.0,0,43,1,0,1,0,3,98.57,4249.62,0,0,0,1,0
283,40.0,0,23,1,1,1,0,2,101.25,2315.85,0,1,1,0,0
284,48.0,0,56,0,0,0,0,2,59.75,3335.27,1,0,0,0,0
285,47.0,1,19,1,1,1,0,2,74.13,1401.42,0,1,0,1,0
286,59.0,0,55,1,1,0,0,2,73.99,4080.29,0,1,0,1,0
287,52.0,0,60,0,0,1,0,3,42.02,2512.31,1,1,0,1,0
288,24.0,1,59,1,1,1,0,0,31.76,1867.28,0,1,1,0,0
289,33.0,1,33,0,1,1,0,3,74.36,2444.26,0,1,0,0,0
290,43.0,1,19,1,1,1,2,1,32.01,610.74,1,1,0,1,0
291,65.0,1,28,1,1,0,0,2,54.61,1536.52,0,0,0,0,0
292,69.0,0,52,1,1,0,0,3,38.61,2024.76,0,0,1,0,0
293,66.0,0,49,1,1,1,0,0,90.69,4467.81,0,0,1,0,0
294,19.0,1,37,1,1,1,2,0,107.2,3972.9,1,0,0,0,0
295,18.0,1,26,1,0,0,2,0,77.79,2026.2,0,1,1,0,0
296,65.0,1,40,1,1,0,0,0,61.02,2428.63,1,0,0,0,0
297,29.0,0,38,0,1,0,2,0,119.66,4566.17,1,0,1,1,0
298,22.0,0,54,0,1,0,0,2,22.12,1196.63,1,1,0,0,0
299,54.0,1,22,1,0,1,2,0,50.43,1106.57,0,0,0,0,0
300,49.0,1,16,1,0,0,0,0,47.87,769.8,0,1,0,1,0
301,26.0,0,28,1,0,1,0,1,55.62,1551.0,1,0,0,1,0
302,58.0,1,35,0,0,1,1,0,43.06,1483.72,1,1,1,1,0
303,52.0,1,60,1,1,0,0,0,46.43,2791.52,1,1,1,0,0
304,36.0,0,45,0,1,0,1,3,45.77,2073.07,1,1,0,0,0
305,65.0,1,46,1,1,0,0,2,70.57,3251.79,0,1,0,0,0
306,33.0,0,55,1,1,1,1,2,59.11,3250.98,0,0,0,0,0
307,20.0,1,26,1,1,1,0,0,83.93,2182.31,0,0,1,1,0
308,37.0,1,25,0,1,1,0,0,71.44,1787.72,0,1,0,0,0
309,41.0,0,65,1,0,0,2,2,38.34,2493.52,0,1,0,1,0
310,50.0,0,6,1,0,1,2,0,101.0,605.39,1,1,1,1,1
311,41.0,1,23,1,1,0,2,0,67.22,2132.26,1,0,0,1,0
312,69.0,0,64,1,0,1,1,0,35.32,2276.03,0,1,1,1,0
313,28.0,1,43,1,1,0,1,2,36.69,1582.39,1,0,1,1,0
314,66.0,1,23,1,1,0,0,0,99.7,2294.15,0,0,1,1,0
315,25.0,0,30,1,1,1,0,2,90.3,2715.59,0,0,1,0,0
316,53.0,1,18,0,1,1,0,0,70.65,1278.29,0,0,1,1,0
317,55.0,1,21,1,1,0,0,2,50.61,1072.27,1,0,0,1,0
318,57.0,0,57,1,0,1,2,0,66.05,3757.28,1,0,0,0,0
319,37.0,0,23,0,1,0,0,2,83.65,1919.14,0,0,0,0,0
320,52.0,1,45,0,1,0,2,2,107.93,4848.71,0,0,1,1,0
321,65.0,0,44,1,1,1,0,0,75.59,3333.63,1,0,0,1,0
322,42.0,0,47,0,1,0,1,2,47.67,2247.67,0,0,0,0,0
323,52.0,0,40,1,0,1,0,0,24.27,958.07,0,0,0,0,0
324,42.0,0,51,0,1,0,0,1,37.55,1918.96,1,0,1,1,0
325,46.0,1,42,1,0,1,2,2,85.02,3584.56,1,0,0,1,0
326,35.0,1,7,1,0,0,0,2,36.04,249.93,0,1,1,0,0
327,63.0,1,50,1,1,1,0,1,68.15,3410.64,0,1,0,0,0
328,35.0,0,48,1,1,1,0,2,89.9,4322.5,1,0,1,0,0
329,19.0,0,6,1,0,1,0,1,50.82,291.71,0,1,1,1,0
330,52.0,0,9,1,0,0,0,0,86.91,783.71,0,1,0,1,1
331,33.0,0,57,0,1,1,1,2,78.11,4464.99,0,1,0,0,0
332,58.0,0,31,0,0,0,0,3,63.89,1974.66,1,0,0,0,0
333,53.0,0,21,0,0,1,0,2,109.72,2312.44,0,0,1,1,0
334,50.0,0,40,1,1,0,0,0,89.21,3568.67,1,1,0,0,0
335,21.0,1,45,0,1,0,2,3,56.06,2515.95,0,1,0,1,0
336,50.0,1,49,0,0,1,1,0,100.43,4920.1,0,0,0,0,0
337,31.0,0,20,1,1,1,0,0,93.81,1870.94,1,0,0,1,0
338,38.0,0,17,1,1,1,0,1,99.17,1677.01,1,1,0,0,0
339,65.0,0,28,1,1,1,0,1,84.1,2352.26,0,1,1,0,0
340,37.0,1,41,0,1,1,1,3,57.94,2376.22,0,0,1,0,0
341,25.0,1,66,0,1,0,1,0,54.86,3619.1,1,0,1,0,0
342,24.0,0,25,1,0,1,2,1,85.42,2132.85,1,0,0,1,0
343,20.0,0,58,0,1,0,0,1,33.09,1921.48,1,0,0,0,0
344,34.0,1,41,1,1,0,0,2,101.99,4186.9,1,0,0,1,0
345,50.0,1,6,1,1,1,0,2,57.03,330.74,0,1,1,0,0
346,65.0,1,38,1,1,0,0,2,83.04,3153.0,0,1,0,1,0
347,29.0,1,6,0,1,1,0,3,69.91,399.72,0,0,1,0,0
348,68.0,0,45,1,1,0,0,2,71.93,3235.23,1,0,0,0,0
349,39.0,1,14,1,1,1,1,3,93.8,1314.71,0,0,1,1,0
350,39.0,1,66,1,1,0,0,0,82.67,5461.92,1,0,0,0,0
351,63.0,0,40,1,1,0,2,3,45.03,1802.74,0,0,0,0,0
352,47.0,1,3,0,1,1,0,0,27.42,87.74,1,0,1,0,0
353,55.0,1,24,0,0,0,2,2,104.02,2497.13,1,1,1,1,0
354,55.0,1,19,1,1,1,2,1,108.49,2054.55,0,1,0,0,0
